,country,metric,load_dt
0,Andorra,"44,6",2020-07-31
1,Austria,"17,3*",2020-07-31
2,Belgia,"19,4",2020-07-31
3,Bulgaaria,"45,4",2020-07-31
4,Hispaania,"34,6",2020-07-31
5,Holland,"9,3",2020-07-31
6,Horvaatia,"29,9",2020-07-31
7,Iirimaa,"5,3",2020-07-31
8,Island,"2,2",2020-07-31
9,Itaalia,"4,9",2020-07-31
10,Kreeka,"4,1",2020-07-31
11,Küpros,"4,0",2020-07-31
12,Leedu,"3,7",2020-07-31
13,Liechtenstein,"5,2",2020-07-31
14,Luksemburg,"200,8",2020-07-31
15,Läti,"2,6",2020-07-31
16,Malta,"1,2",2020-07-31
17,Monaco,"18,1",2020-07-31
18,Norra,"2,0",2020-07-31
19,Poola,"12,2",2020-07-31
20,Portugal,"39,9",2020-07-31
21,Prantsusmaa,"13,9",2020-07-31
22,Rootsi,"43,3",2020-07-31
23,Rumeenia,"54,0",2020-07-31
24,Saksamaa,"7,2",2020-07-31
25,San Marino,"5,8",2020-07-31
26,Slovakkia,"4,4",2020-07-31
27,Sloveenia,"12,4",2020-07-31
28,Soome,"1,5",2020-07-31
29,Šveits,"16,5*",2020-07-31
30,Taani,"8,2",2020-07-31
31,Tšehhi,"17,7",2020-07-31
32,Ungari,"1,8",2020-07-31
33,Vatikan,"0,0",2020-07-31
34,Ühendkuningriik,"14,3",2020-07-31
